timestamp,symbol,funding_zscore,oi_expansion_rate,taker_delta,pressure_score,squeeze_probability,flow_state,whale_activity,squeeze_risk,funding_warning,flow_adjustment,final_score
2026-05-15T08:35:11.711712+00:00,SUIUSDT,1.0849149487145597,3.5646695037273184,-0.03078832730806633,54.77538854786762,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,40
2026-05-15T08:35:12.030668+00:00,TAOUSDT,0.9322225748878333,-0.5224168444820095,-0.27839133771581326,39.292725900426944,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,40
2026-05-15T08:35:12.339586+00:00,BTCUSDT,-1.0550037860903652,-0.4106559208052494,0.07304547254744109,52.11775997789015,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:12.643004+00:00,XRPUSDT,-1.0770673620962974,0.38368703606686927,0.18846372784612722,57.33558355431201,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:12.959852+00:00,DOGEUSDT,-1.9374838347561525,0.5363101576716509,0.057152686666000437,53.64551335949258,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:13.280935+00:00,LABUSDT,-0.5131585922487838,4.191086663787067,0.07259883486335769,56.32496707281446,35.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:13.876117+00:00,BILLUSDT,-0.9092507907812745,7.422139950649553,0.04981723132322625,65.60317511453061,35.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,30
2026-05-15T08:35:14.272924+00:00,1000PEPEUSDT,-0.7328446201018364,0.6209818886136507,0.05867145307508998,53.20880417626079,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:14.618769+00:00,CRCLUSDT,-0.32243825375409974,-1.6439411762360252,0.06779319909106543,50.057907605645944,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:14.959607+00:00,MUUSDT,-0.31941030329885767,9.419250800000786,0.031443158109333284,63.842039342040934,10.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,30
2026-05-15T08:35:15.285527+00:00,ADAUSDT,-1.0629021887166206,0.5839746304996988,0.05356738270406651,53.12549250225026,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:15.609159+00:00,INJUSDT,0.23039432355362088,0.2585706497657477,0.1385011100938548,54.680829567485915,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:15.934995+00:00,UBUSDT,-0.3408910103416417,-2.838713874862888,0.0778677797363563,49.83563309767055,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:35:16.262794+00:00,ETHUSDT,-0.7473776442435512,0.17608816863972276,-0.02314335796112385,49.61745249618001,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:35:16.620250+00:00,SOLUSDT,0.45617289018010154,2.296974359239849,-0.040849768365320956,52.21330471742372,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
